TaskNo,PartNo,GazePointX,GazePointY,Time
1,1,711,441,1050
1,1,714,432,1053
1,1,714,439,1056
1,1,710,432,1060
1,1,715,444,1063
1,1,717,441,1066
1,1,712,446,1070
1,1,712,442,1073
1,1,713,436,1076
1,1,710,432,1080
1,1,709,431,1083
1,1,708,436,1086
1,1,710,435,1090
1,1,709,437,1093
1,1,710,432,1096
1,1,710,435,1100
1,1,710,437,1103
1,1,708,430,1106
1,1,713,437,1110
1,1,710,440,1113
1,1,711,437,1116
1,1,711,437,1120
1,1,708,440,1123
1,1,709,431,1126
1,1,708,436,1130
1,1,707,438,1133
1,1,708,436,1136
1,1,706,438,1140
1,1,707,439,1143
1,1,706,439,1146
1,1,706,435,1150
1,1,711,441,1153
1,1,710,446,1156
1,1,710,446,1160
1,1,709,439,1163
1,1,709,438,1166
1,1,708,438,1170
1,1,705,438,1173
1,1,706,441,1176
1,1,709,443,1180
1,1,709,440,1183
1,1,705,440,1186
1,1,705,437,1190
1,1,707,438,1193
1,1,708,436,1196
1,1,706,437,1200
1,1,706,443,1203
1,1,699,438,1206
1,1,705,439,1210
1,1,706,437,1213
1,1,707,438,1216
1,1,705,440,1220
1,1,711,441,1223
1,1,707,441,1226
1,1,707,438,1230
1,1,708,445,1233
1,1,704,441,1236
1,1,705,438,1240
1,1,705,444,1243
1,1,707,440,1246
1,1,709,443,1250
1,1,709,446,1253
1,1,711,448,1256
1,1,709,444,1260
1,1,705,444,1263
1,1,708,441,1266
1,1,704,439,1270
1,1,700,439,1273
1,1,707,446,1276
1,1,702,441,1280
1,1,707,446,1283
1,1,709,441,1286
1,1,707,441,1290
1,1,704,440,1293
1,1,704,442,1296
1,1,703,441,1300
1,1,709,442,1303
1,1,707,441,1306
1,1,705,438,1310
1,1,708,438,1313
1,1,702,435,1316
1,1,704,435,1320
1,1,707,442,1323
1,1,702,436,1326
1,1,704,446,1330
1,1,709,440,1333
1,1,709,436,1336
1,1,704,440,1340
1,1,708,445,1343
1,1,702,439,1346
1,1,708,442,1350
1,1,707,441,1353
1,1,702,442,1356
1,1,705,442,1360
1,1,702,443,1363
1,1,706,445,1366
1,1,707,447,1370
1,1,702,445,1373
1,1,702,457,1376
1,1,704,456,1380
1,1,702,471,1383
1,1,701,485,1386
1,1,698,489,1390
1,1,697,496,1393
1,1,697,507,1396
1,1,697,511,1400
1,1,698,516,1403
1,1,699,515,1406
1,1,703,510,1410
1,1,701,513,1413
1,1,699,504,1416
1,1,699,509,1420
1,1,697,508,1423
1,1,699,507,1426
1,1,696,509,1430
1,1,696,505,1433
1,1,698,507,1436
1,1,695,513,1440
1,1,694,505,1443
1,1,693,504,1446
1,1,696,511,1450
1,1,700,512,1453
1,1,698,510,1456
1,1,700,509,1460
1,1,693,506,1463
1,1,698,513,1466
1,1,697,509,1470
1,1,694,512,1473
1,1,695,514,1476
1,1,694,517,1480
1,1,696,516,1483
1,1,690,515,1486
1,1,693,513,1490
1,1,696,516,1493
1,1,694,509,1496
1,1,690,508,1500
1,1,689,506,1503
1,1,691,512,1506
1,1,692,509,1510
1,1,693,512,1513
1,1,693,511,1516
1,1,693,513,1520
1,1,690,509,1523
1,1,691,511,1526
1,1,694,510,1530
1,1,692,516,1533
1,1,694,513,1536
1,1,695,517,1540
1,1,687,518,1543
1,1,691,513,1546
1,1,689,513,1550
1,1,693,513,1553
1,1,691,513,1556
1,1,688,517,1560
1,1,691,511,1563
1,1,689,509,1566
1,1,692,514,1570
1,1,694,515,1573
1,1,693,517,1576
1,1,690,513,1580
1,1,690,517,1583
1,1,694,515,1586
1,1,692,510,1590
1,1,689,515,1593
1,1,691,515,1596
1,1,690,517,1600
1,1,691,518,1603
1,1,691,516,1606
1,1,691,516,1610
1,1,694,519,1613
1,1,690,518,1616
1,1,685,514,1620
1,1,688,521,1623
1,1,691,520,1626
1,1,688,520,1630
1,1,691,523,1633
1,1,688,516,1636
1,1,691,520,1640
1,1,687,522,1643
1,1,691,531,1646
1,1,692,537,1650
1,1,683,549,1653
1,1,689,578,1656
1,1,688,591,1660
1,1,687,613,1663
1,1,692,637,1666
1,1,695,646,1670
1,1,697,662,1673
1,1,705,672,1676
1,1,707,676,1680
1,1,707,673,1683
1,1,706,667,1686
1,1,705,659,1690
1,1,704,660,1693
1,1,702,664,1696
1,1,702,667,1700
1,1,706,667,1703
1,1,701,664,1706
1,1,703,674,1710
1,1,704,668,1713
1,1,704,669,1716
1,1,705,663,1720
1,1,703,668,1723
1,1,703,663,1726
1,1,705,666,1730
1,1,702,662,1733
1,1,703,670,1736
1,1,701,667,1740
1,1,702,668,1743
1,1,698,672,1746
1,1,700,673,1750
1,1,699,671,1753
1,1,703,671,1756
1,1,702,672,1760
1,1,702,671,1763
1,1,699,670,1766
1,1,704,671,1770
1,1,704,672,1773
1,1,701,665,1776
1,1,704,665,1780
1,1,701,666,1783
1,1,704,666,1786
1,1,702,667,1790
1,1,702,673,1793
1,1,704,669,1796
1,1,702,674,1800
1,1,702,670,1803
1,1,703,675,1806
1,1,706,676,1810
1,1,706,679,1813
1,1,703,672,1816
1,1,701,675,1820
1,1,705,681,1823
1,1,700,674,1826
1,1,702,674,1830
1,1,701,670,1833
1,1,700,676,1836
1,1,700,670,1840
1,1,699,672,1843
1,1,702,673,1846
1,1,698,675,1850
1,1,698,673,1853
1,1,698,676,1856
1,1,700,674,1860
1,1,700,675,1863
1,1,700,671,1866
1,1,703,678,1870
1,1,703,674,1873
1,1,703,670,1876
1,1,704,676,1880
1,1,702,663,1883
1,1,703,672,1886
1,1,702,670,1890
1,1,701,682,1893
1,1,704,680,1896
1,1,700,681,1900
1,1,696,676,1903
1,1,696,676,1906
1,1,700,675,1910
1,1,701,678,1913
1,1,700,667,1916
1,1,702,678,1920
1,1,700,676,1923
1,1,701,672,1926
1,1,701,674,1930
1,1,702,673,1933
1,1,704,670,1936
1,1,701,675,1940
1,1,699,673,1943
1,1,700,677,1946
1,1,701,677,1950
1,1,699,671,1953
1,1,698,671,1956
1,1,699,673,1960
1,1,699,675,1963
1,1,700,672,1966
1,1,700,682,1970
1,1,700,673,1973
1,1,702,678,1976
1,1,697,678,1980
1,1,698,682,1983
1,1,700,669,1986
1,1,701,674,1990
1,1,699,672,1993
1,1,702,672,1996
1,1,700,673,2000
1,1,699,674,2003
1,1,700,676,2006
1,1,701,672,2010
1,1,699,680,2013
1,1,702,675,2016
1,1,701,678,2020
1,1,700,677,2023
1,1,702,674,2026
1,1,699,674,2030
1,1,702,671,2033
1,1,702,678,2036
1,1,697,679,2040
1,1,702,679,2043
1,1,702,681,2046
1,1,701,683,2050
1,1,704,683,2053
1,1,700,686,2056
1,1,701,683,2060
1,1,699,682,2063
